what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.validation,1.2.200.v201005271900,"org.eclipse.wst.validation",1521594897767
started,bundle,org.eclipse.wst.web,1.1.400.v201005270700,"org.eclipse.wst.web",1521594897768
started,bundle,org.eclipse.wst.xml.core,1.1.500.v201005271618,"org.eclipse.wst.xml.core",1521594897769
os,sysinfo,,,"win32",1521594897773
arch,sysinfo,,,"x86_64",1521594897773
ws,sysinfo,,,"win32",1521594897773
locale,sysinfo,,,"en_IN",1521594897773
processors,sysinfo,,,"4",1521594897773
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1521594897773
java.runtime.version,sysinfo,,,"1.8.0_161-b12",1521594897773
java.specification.name,sysinfo,,,"Java Platform API Specification",1521594897773
java.specification.vendor,sysinfo,,,"Oracle Corporation",1521594897773
java.specification.version,sysinfo,,,"1.8",1521594897773
java.vendor,sysinfo,,,"Oracle Corporation",1521594897773
java.version,sysinfo,,,"1.8.0_161",1521594897773
java.vm.info,sysinfo,,,"mixed mode",1521594897773
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1521594897773
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1521594897773
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1521594897773
java.vm.specification.version,sysinfo,,,"1.8",1521594897773
java.vm.vendor,sysinfo,,,"Oracle Corporation",1521594897773
java.vm.version,sysinfo,,,"25.161-b12",1521594897773
started,bundle,org.eclipse.epp.usagedata.ui,1.3.0.R201005261100,"org.eclipse.epp.usagedata.ui",1521594898807
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1521594898974
started,bundle,org.eclipse.ui.forms,3.5.0.v20100427,"org.eclipse.ui.forms",1521594899054
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1521594899123
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1521594899198
started,bundle,org.eclipse.mylyn.context.core,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.context.core",1521594899413
started,bundle,org.eclipse.mylyn.context.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.context.ui",1521594899447
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.tasks.ui",1521594899729
started,bundle,org.eclipse.mylyn.team.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.team.ui",1521594899741
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1521594899757
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1521594899781
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1521594899943
started,bundle,org.eclipse.update.core,3.2.400.v20100512,"org.eclipse.update.core",1521594899967
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1521594903053
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1521594903368
opened,view,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.views.AllMarkersView",1521594903717
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1521594915654
started,bundle,org.eclipse.jst.servlet.ui,1.1.400.v201005272100,"org.eclipse.jst.servlet.ui",1521594965691
started,bundle,org.eclipse.jpt.core,2.3.0.v201006020000,"org.eclipse.jpt.core",1521594966532
started,bundle,org.eclipse.jdt.apt.core,3.3.400.v20100513-0845,"org.eclipse.jdt.apt.core",1521594969939
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.300.v20100513-0845,"org.eclipse.jdt.apt.pluggable.core",1521594969954
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1521594972377
started,bundle,org.eclipse.pde.launching,3.6.0.v20100601,"org.eclipse.pde.launching",1521594972931
started,bundle,org.eclipse.ui.views.log,1.0.100.v20100423,"org.eclipse.ui.views.log",1521594972939
started,bundle,org.eclipse.pde.ui,3.6.0.v20100601,"org.eclipse.pde.ui",1521594972950
started,bundle,org.eclipse.wst.jsdt.debug.ui,1.0.0.v201005250108,"org.eclipse.wst.jsdt.debug.ui",1521594972951
opened,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1521594973045
opened,view,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.views.ProblemView",1521594973100
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1521594973335
opened,view,org.eclipse.mylyn.tasks.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.tasks.ui.views.tasks",1521594973484
activated,perspective,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.JavaPerspective",1521594973549
activated,editor,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui.internal.editor.AntEditor",1521594973588
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1521594981977
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.202.v201004211732,"org.eclipse.wst.ws.service.policy.ui",1521594985972
started,bundle,org.eclipse.wst.ws.service.policy,1.0.203.v201004211732,"org.eclipse.wst.ws.service.policy",1521594985985
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1521594986013
started,bundle,org.eclipse.ltk.core.refactoring,3.5.100.v20100526-0800,"org.eclipse.ltk.core.refactoring",1521594986152
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1521594986171
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1521594986395
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1521594990724
started,bundle,org.eclipse.mylyn.ide.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ui",1521595016030
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1521595017140
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1521595017648
started,bundle,org.eclipse.jdt.debug,3.6.0.v20100526,"org.eclipse.jdt.debug",1521595018023
started,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1521595018197
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1521595018220
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1521595018344
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1521595031568
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1521595033406
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1521595334975
started,bundle,org.eclipse.jdt.junit,3.6.0.v20100526-0800,"org.eclipse.jdt.junit",1521595341164
started,bundle,org.eclipse.jst.ws.jaxws.ui,1.0.0.v201004262257,"org.eclipse.jst.ws.jaxws.ui",1521595359009
started,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1521595359027
started,bundle,org.eclipse.pde.api.tools,1.0.201.v20100602-0930,"org.eclipse.pde.api.tools",1521595359087
started,bundle,org.eclipse.pde.api.tools.ui,1.0.200.v20100601-1815,"org.eclipse.pde.api.tools.ui",1521595359089
started,bundle,org.eclipse.jst.ws.annotations.core,1.0.0.v201004262257,"org.eclipse.jst.ws.annotations.core",1521595359213
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1521595359606
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1521595365524
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1521595367160
